Lat,Lon
-35.174,-112.879
-67.664,-106.649
-78.927,45.955
-46.777,60.778
-14.051,63.697
18.795,65.814
51.481,69.102
83.202,96.247
63.006,-122.459
30.445,-117.513
-2.374,-115.257
-62.269,-78.466
-83.784,58.933
-52.211,89.897
-19.535,93.304
13.308,95.456
46.037,98.371
78.212,112.312
68.382,-94.626
35.910,-88.040
3.117,-85.603
-29.704,-83.329
-86.303,28.143
-57.657,118.779
-25.039,122.879
7.794,125.101
40.559,127.748
72.924,136.661
73.735,-68.113
41.392,-58.646
8.632,-55.961
-24.202,-53.749
-56.830,-49.766
-63.102,147.302
-30.552,152.421
2.263,154.747
35.059,157.193
67.539,163.570
78.995,-44.753
46.879,-29.345
14.160,-26.330
-18.681,-24.150
-51.363,-20.774
-83.052,6.531
-36.058,-178.074
-3.268,-175.605
29.552,-173.310
62.116,-168.427
83.881,-32.173
52.357,-0.169
19.684,3.289
-13.157,5.465
-45.885,8.401
-78.058,22.273
-68.523,175.216
-8.783,-145.955
24.053,-143.769
56.685,-139.850
86.324,-64.227
57.810,28.819
25.190,32.896
-7.644,35.095
-40.412,37.706
-72.787,46.432
-73.889,-158.089
-41.544,-148.617
